"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude"
"2","Abbotsford","85 Turner St",2,"h",1480000,"S","Biggin","3/12/2016",2.5,3067,2,1,1,202,146.861538586252,1970,"Yarra",-37.7996,144.9984
"6","Abbotsford","40 Federation La",3,"h",850000,"PI","Biggin","4/03/2017",2.5,3067,3,2,1,94,146.861538586252,1970,"Yarra",-37.7969,144.9969
"7","Abbotsford","55a Park St",4,"h",1600000,"VB","Nelson","4/06/2016",2.5,3067,3,1,2,120,142,2014,"Yarra",-37.8072,144.9941
"15","Abbotsford","98 Charles St",2,"h",1636000,"S","Nelson","8/10/2016",2.5,3067,2,1,2,256,107,1890,"Yarra",-37.806,144.9954
"16","Abbotsford","217 Langridge St",3,"h",1000000,"S","Jellis","8/10/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"17","Abbotsford","18a Mollison St",2,"t",745000,"S","Jellis","8/10/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"19","Abbotsford","10 Valiant St",2,"h",1097000,"S","Biggin","8/10/2016",2.5,3067,3,1,2,220,75,1900,"Yarra",-37.801,144.9989
"20","Abbotsford","403/609 Victoria St",2,"u",542000,"S","Dingle","8/10/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"22","Abbotsford","25/84 Trenerry Cr",2,"u",760000,"SP","Biggin","10/12/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"23","Abbotsford","106/119 Turner St",1,"u",481000,"SP","Purplebricks","10/12/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"25","Abbotsford","40 Nicholson St",3,"h",1350000,"VB","Nelson","12/11/2016",2.5,3067,3,2,2,214,190,2005,"Yarra",-37.8085,144.9964
"27","Abbotsford","22 Park St",4,"h",1985000,"S","Biggin","12/11/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,-37.8084,144.9942
"28","Abbotsford","13/84 Trenerry Cr",1,"u",500000,"S","Biggin","12/11/2016",2.5,3067,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"29","Abbotsford","45 William St",2,"h",1172500,"S","Biggin","13/08/2016",2.5,3067,2,1,1,195,146.861538586252,1970,"Yarra",-37.8084,144.9973
